Id,Label,timeset,Degree,modularity_class,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,pageranks,componentnumber,clustering,triangles,eigencentrality
10472,BLACK PANTHER/T'CHAL,,348,1,1647,2,0.711165,0.796928,904.017206,0.003591,0,0.385968,23304,0.713857
10476,IRON MAN/TONY STARK,,396,1,3581,2,0.755155,0.837884,1425.660392,0.004099,0,0.314691,24612,0.753128
10477,IRON MAN IV/JAMES R.,,205,1,831,2,0.605998,0.674915,223.023871,0.00219,0,0.497418,10401,0.471232
10490,MAN-THING/THEODORE T,,111,1,166,2,0.552309,0.59471,53.794863,0.001292,0,0.599672,3661,0.282802
10493,"ROM, SPACEKNIGHT",,146,1,237,2,0.57115,0.624573,49.026062,0.001594,0,0.726027,7685,0.383878
10499,MYSTIQUE/RAVEN DARKH,,185,3,735,2,0.593718,0.65785,190.919204,0.002031,0,0.513807,8745,0.398939
10500,BLOB/FRED J. DUKES,,226,3,701,2,0.61945,0.692833,377.215793,0.002428,0,0.438466,11148,0.473134
10501,TORPEDO III/BROCK JO,,157,1,238,2,0.57734,0.633959,57.177143,0.001698,0,0.717949,8792,0.402134
10502,PYRO/ALLERDYCE JOHNN,,168,3,494,2,0.583665,0.643345,164.381113,0.001858,0,0.51661,7247,0.377038
10503,AVALANCHE/DOMINIC PE,,156,3,418,2,0.576772,0.633106,130.302108,0.001742,0,0.540612,6536,0.352806
10504,ROGUE /,,385,3,2913,2,0.7446,0.828498,1361.848682,0.004001,0,0.345536,25542,0.743429
10505,DESTINY II/IRENE ADL,,126,3,358,2,0.560229,0.607509,67.457252,0.001453,0,0.612571,4824,0.3003
10521,SUB-MARINER/NAMOR MA,,409,1,2335,2,0.768021,0.848976,1372.25082,0.004203,0,0.34877,29100,0.806252
10522,VASHTI,,109,1,267,2,0.55127,0.593003,53.040969,0.001283,0,0.578491,3405,0.264513
10525,NOVA/RICHARD RIDER,,326,5,1385,2,0.692671,0.778157,898.471612,0.003411,0,0.385805,20438,0.658486
10526,FIRESTAR/ANGELICA JO,,308,5,1246,2,0.678241,0.762799,745.935013,0.003219,0,0.403507,19077,0.638461
10527,THUNDERBALL/DR. ELIO,,131,0,510,2,0.56292,0.611775,72.141527,0.001487,0,0.578274,4924,0.318903
10528,NAMORITA/NITA PRENTI,,305,5,1179,2,0.675894,0.760239,738.433759,0.003194,0,0.405544,18801,0.632771
10529,SPEEDBALL/ROBBIE BAL,,270,5,908,2,0.649667,0.730375,532.044569,0.002852,0,0.43935,15955,0.574643
10530,HULK/DR. ROBERT BRUC,,454,1,3433,2,0.816156,0.887372,1849.640289,0.004656,0,0.321197,33029,0.871028
