Source,Target,Type,Id,Label,timeset,Weight
10472,17985,Undirected,376482,,,1
10472,17819,Undirected,369219,,,1
10472,17699,Undirected,369212,,,1
10472,17497,Undirected,369216,,,1
10472,17494,Undirected,369214,,,1
10472,17411,Undirected,353604,,,1
10472,17297,Undirected,369211,,,1
10472,16788,Undirected,375646,,,1
10472,16745,Undirected,294842,,,2
10472,16744,Undirected,294839,,,2
10472,16332,Undirected,304539,,,7
10472,16303,Undirected,308350,,,2
10472,15944,Undirected,286854,,,1
10472,15686,Undirected,353618,,,2
10472,15648,Undirected,375648,,,1
10472,15493,Undirected,369215,,,1
10472,15418,Undirected,294840,,,2
10472,15394,Undirected,286852,,,1
10472,15326,Undirected,361316,,,1
10472,15251,Undirected,286847,,,1
10472,15013,Undirected,307752,,,19
10472,14917,Undirected,328188,,,2
10472,14846,Undirected,304470,,,1
10472,14845,Undirected,304469,,,1
10472,14825,Undirected,286848,,,1
10472,14738,Undirected,323858,,,1
10472,14555,Undirected,276759,,,1
10472,14296,Undirected,353608,,,2
10472,14269,Undirected,353616,,,2
10472,14057,Undirected,355103,,,1
10472,14056,Undirected,355101,,,1
10472,14054,Undirected,355102,,,1
10472,14002,Undirected,323856,,,1
10472,13997,Undirected,369217,,,1
10472,13904,Undirected,375649,,,1
10472,13885,Undirected,353611,,,1
10472,13881,Undirected,353600,,,2
10472,13795,Undirected,312033,,,4
10472,13761,Undirected,369210,,,1
10472,13715,Undirected,249564,,,1
10472,13714,Undirected,249561,,,1
10472,13675,Undirected,336894,,,1
10472,13607,Undirected,336890,,,1
10472,13600,Undirected,308045,,,2
10472,13437,Undirected,353605,,,1
10472,13364,Undirected,320592,,,1
10472,13275,Undirected,307964,,,2
10472,13130,Undirected,321892,,,3
10472,13121,Undirected,307965,,,2
10472,13026,Undirected,242295,,,1
10472,12944,Undirected,242294,,,1
10472,12943,Undirected,334296,,,5
10472,12905,Undirected,369220,,,1
10472,12900,Undirected,286849,,,1
10472,12897,Undirected,286850,,,1
10472,12886,Undirected,284462,,,1
10472,12884,Undirected,284464,,,1
10472,12864,Undirected,361322,,,1
10472,12825,Undirected,357531,,,1
10472,12807,Undirected,327599,,,2
10472,12805,Undirected,327596,,,3
10472,12771,Undirected,327598,,,1
10472,12737,Undirected,311952,,,3
10472,12634,Undirected,323851,,,2
10472,12607,Undirected,327602,,,1
10472,12606,Undirected,327597,,,1
10472,12588,Undirected,286853,,,1
10472,12573,Undirected,238442,,,2
10472,12405,Undirected,294595,,,1
10472,12362,Undirected,367749,,,2
10472,12329,Undirected,375645,,,1
10472,12315,Undirected,353617,,,1
10472,12300,Undirected,353601,,,1
10472,12297,Undirected,327600,,,2
10472,12254,Undirected,304475,,,1
10472,12252,Undirected,304472,,,1
10472,12218,Undirected,374288,,,4
10472,12185,Undirected,323859,,,2
10472,12180,Undirected,234098,,,2
10472,12179,Undirected,234096,,,5
10472,12177,Undirected,234099,,,2
10472,12176,Undirected,323854,,,2
10472,12150,Undirected,233872,,,2
10472,12149,Undirected,233878,,,5
10472,12147,Undirected,232950,,,5
10472,12146,Undirected,232948,,,1
10472,12116,Undirected,233873,,,2
10472,12093,Undirected,355105,,,1
10472,12092,Undirected,323857,,,1
10472,12062,Undirected,361321,,,4
10472,12060,Undirected,361319,,,1
10472,12005,Undirected,382773,,,3
10472,11996,Undirected,249566,,,10
10472,11995,Undirected,328722,,,4
10472,11992,Undirected,304563,,,2
10472,11976,Undirected,233876,,,6
10472,11971,Undirected,233875,,,2
10472,11941,Undirected,249560,,,1
10472,11937,Undirected,398208,,,1
10472,11933,Undirected,287594,,,2
10472,11924,Undirected,287595,,,2
10472,11911,Undirected,307963,,,4
10472,11811,Undirected,353612,,,3
10472,11772,Undirected,353610,,,2
10472,11769,Undirected,353615,,,2
10472,11748,Undirected,353607,,,2
10472,11701,Undirected,369221,,,1
10472,11687,Undirected,244988,,,1
10472,11655,Undirected,244995,,,1
10472,11567,Undirected,304478,,,2
10472,11557,Undirected,234097,,,12
10472,11555,Undirected,384498,,,2
10472,11530,Undirected,390310,,,1
10472,11529,Undirected,361320,,,1
10472,11523,Undirected,304562,,,2
10472,11521,Undirected,228756,,,1
10472,11495,Undirected,228863,,,6
10472,11487,Undirected,309619,,,5
10472,11479,Undirected,228425,,,1
10472,11469,Undirected,327603,,,2
10472,11465,Undirected,336886,,,4
10472,11461,Undirected,336896,,,3
10472,11459,Undirected,288339,,,1
10472,11457,Undirected,378899,,,2
10472,11423,Undirected,311097,,,1
10472,11401,Undirected,389357,,,1
10472,11383,Undirected,369209,,,1
10472,11376,Undirected,228426,,,2
10472,11375,Undirected,234100,,,3
10472,11374,Undirected,321263,,,3
10472,11364,Undirected,337455,,,6
10472,11362,Undirected,308349,,,2
10472,11356,Undirected,369218,,,1
10472,11324,Undirected,323849,,,4
10472,11322,Undirected,323852,,,1
10472,11318,Undirected,238259,,,1
10472,11316,Undirected,238183,,,2
10472,11289,Undirected,233870,,,11
10472,11279,Undirected,330732,,,2
10472,11269,Undirected,330733,,,2
10472,11251,Undirected,390313,,,2
10472,11241,Undirected,309618,,,3
10472,11218,Undirected,284461,,,9
10472,11214,Undirected,249562,,,2
10472,11165,Undirected,285845,,,9
10472,11149,Undirected,304477,,,2
