Id,Label,timeset,degree
10470,"LITTLE, ABNER",,21
10471,PRINCESS ZANDA,,10
10472,BLACK PANTHER/T'CHAL,,704
10473,"STEELE, SIMON/WOLFGA",,9
10474,"FORTUNE, DOMINIC",,14
10475,"ERWIN, CLYTEMNESTRA",,58
10476,IRON MAN/TONY STARK,,2189
10477,IRON MAN IV/JAMES R.,,462
10478,"RAVEN, SABBATH II/EL",,11
10479,",""FORTUNE, DOMINIC",,1
10480,",""ERWIN, CLYTEMNESTRA",,5
10481,CARNIVORE/COUNT ANDR,,44
10482,GHOST,,35
10483,"ZIMMER, ABE",,70
10484,FU MANCHU,,40
10485,"TARR, BLACK JACK",,30
10486,"SMITH, SIR DENIS NAY",,28
10487,SHANG-CHI,,126
10488,STARSHINE II/BRANDY,,220
10489,",""ROM, SPACEKNIGHT",,13
10490,MAN-THING/THEODORE T,,185
10491,"WU, LEIKO",,42
10492,DOCTOR DREDD,,14
10493,"ROM, SPACEKNIGHT",,239
10494,"RESTON, CLIVE",,32
10495,"JACKSON, STEVE",,66
10496,",""DOCTOR DREDD",,1
10497,",""TARR, BLACK JACK",,2
10498,",""SHANG-CHI",,10
10499,MYSTIQUE/RAVEN DARKH,,392
10500,BLOB/FRED J. DUKES,,420
10501,TORPEDO III/BROCK JO,,219
10502,PYRO/ALLERDYCE JOHNN,,295
10503,AVALANCHE/DOMINIC PE,,274
10504,ROGUE /,,822
10505,DESTINY II/IRENE ADL,,225
10506,HYBRID/JAMES JIMMY M,,27
10507,"CLARK, SARAH",,49
10508,"KILLBURN, MACK",,17
10509,"JONES, TAMMY ANNE",,50
10510,"JONES, LORRAINE LORR",,52
10511,"JONES, NELL",,44
10512,"JONES, DANIEL DANNY",,52
10513,"CLARK, JOHN",,49
10514,",""TORPEDO III/BROCK JO",,18
10515,",""KILLBURN, MACK",,1
10516,",""JONES, LORRAINE LORR",,2
10517,",""JONES, DANIEL DANNY",,2
10518,",""JONES, TAMMY ANNE",,4
10519,",""JONES, NELL",,3
10520,",""JACKSON, STEVE",,7
10521,SUB-MARINER/NAMOR MA,,972
10522,VASHTI,,206
10523,SEAWEED MAN,,5
10524,",""CLARK, JOHN",,6
10525,NOVA/RICHARD RIDER,,671
