Id,Label,timeset,Degree
10472,BLACK PANTHER/T'CHAL,,704
10476,IRON MAN/TONY STARK,,2189
10477,IRON MAN IV/JAMES R.,,462
10487,SHANG-CHI,,126
10488,STARSHINE II/BRANDY,,220
10490,MAN-THING/THEODORE T,,185
10493,"ROM, SPACEKNIGHT",,239
10499,MYSTIQUE/RAVEN DARKH,,392
10500,BLOB/FRED J. DUKES,,420
10501,TORPEDO III/BROCK JO,,219
10502,PYRO/ALLERDYCE JOHNN,,295
10503,AVALANCHE/DOMINIC PE,,274
10504,ROGUE /,,822
10505,DESTINY II/IRENE ADL,,225
10521,SUB-MARINER/NAMOR MA,,972
10522,VASHTI,,206
10525,NOVA/RICHARD RIDER,,671
10526,FIRESTAR/ANGELICA JO,,607
10527,THUNDERBALL/DR. ELIO,,207
10528,NAMORITA/NITA PRENTI,,588
10529,SPEEDBALL/ROBBIE BAL,,499
10530,HULK/DR. ROBERT BRUC,,1048
10531,NIGHT THRASHER/DUANE,,379
10532,SPIDER-MAN/PETER PAR,,1730
10533,JUSTICE II/VANCE AST,,483
10534,TIGRA/GREER NELSON,,510
10535,WASP/JANET VAN DYNE,,1517
10536,GALACTUS/GALAN,,394
10537,MOCKINGBIRD/DR. BARB,,508
10538,SILVER SURFER/NORRIN,,663
10539,HAWK,,1165
10540,LORD CHAOS,,131
10541,SCARLET WITCH/WANDA,,1883
10542,QUICKSILVER/PIETRO M,,868
10550,UATU,,518
10551,CAPTAIN AMERICA,,1896
10552,THUNDERSTRIKE/ERIC K,,529
10553,WONDER MAN/SIMON WIL,,1022
10554,DEATHLOK III/MICHAEL,,182
10555,OBLIVION,,72
10556,WOLVERINE/LOGAN,,1984
10557,SHE-HULK/JENNIFER WA,,1064
10558,VISION,,1765
10559,PSYLOCKE/ELISABETH B,,688
10560,MARVEL GIRL/JEAN GRE,,998
10561,STORM/ORORO MUNROE S,,1062
10562,ETERNITY/ADAM QADMON,,309
10563,KISMET/J'RIDIA STARD,,185
10564,IN-BETWEENER,,89
10565,MR. FANTASTIC/REED R,,1368
10566,ANGEL/WARREN KENNETH,,1064
10567,DEATH,,274
10568,MASTER ORDER,,118
10569,JUBILEE/JUBILATION L,,444
10570,THING/BENJAMIN J. GR,,1404
