Id,Label,timeset,Degree,clustering,triangles,pageranks,eigencentrality,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Weighted Degree,Authority,Hub,componentnumber
10472,BLACK PANTHER/T'CHAL,,455,0.275393,28444,0.002972,0.66185,6,2,0.646869,0.727046,2900.388456,1845,0.074349,0.074349,0
10476,IRON MAN/TONY STARK,,522,0.224208,30488,0.003411,0.706754,6,2,0.676113,0.760479,4335.897814,3885,0.079155,0.079154,0
10477,IRON MAN IV/JAMES R.,,239,0.410077,11663,0.001593,0.417738,6,2,0.567705,0.619261,530.065138,903,0.046892,0.046892,0
10487,SHANG-CHI,,70,0.619048,1495,0.000564,0.158427,0,2,0.518097,0.53493,27.173588,131,0.017793,0.017793,0
10488,STARSHINE II/BRANDY,,56,0.76039,1171,0.000476,0.129586,6,2,0.514374,0.527944,8.164488,128,0.014664,0.014664,0
10490,MAN-THING/THEODORE T,,125,0.520387,4033,0.000895,0.248698,2,2,0.533262,0.562375,114.139108,188,0.027929,0.027929,0
10493,"ROM, SPACEKNIGHT",,156,0.665012,8040,0.001056,0.325652,6,2,0.542208,0.577844,85.965325,293,0.036926,0.036926,0
10499,MYSTIQUE/RAVEN DARKH,,250,0.377028,11735,0.001716,0.378374,7,2,0.571266,0.62475,754.619151,838,0.041992,0.041992,0
10500,BLOB/FRED J. DUKES,,298,0.325198,14391,0.002009,0.444978,7,2,0.587339,0.648703,1417.260413,817,0.049429,0.049429,0
10501,TORPEDO III/BROCK JO,,169,0.647365,9190,0.001136,0.339867,6,2,0.546049,0.584331,122.834696,263,0.038544,0.038545,0
10502,PYRO/ALLERDYCE JOHNN,,226,0.38061,9677,0.00156,0.355295,7,2,0.563555,0.612774,689.935607,580,0.039498,0.039498,0
10503,AVALANCHE/DOMINIC PE,,204,0.40906,8470,0.001419,0.328163,7,2,0.556667,0.601796,514.275583,494,0.036516,0.036516,0
10504,ROGUE /,,554,0.224669,34415,0.003666,0.725665,7,2,0.691034,0.776447,5618.599528,3237,0.080873,0.080872,0
10505,DESTINY II/IRENE ADL,,164,0.471196,6298,0.001168,0.280346,7,2,0.544565,0.581836,271.784015,415,0.03114,0.03114,0
10521,SUB-MARINER/NAMOR MA,,543,0.243135,35778,0.003551,0.752181,6,2,0.685832,0.770958,4596.177539,2599,0.084359,0.084359,0
10522,VASHTI,,125,0.494452,3832,0.000903,0.230575,1,2,0.533262,0.562375,113.689464,293,0.026015,0.026015,0
10525,NOVA/RICHARD RIDER,,437,0.272857,25994,0.002894,0.618664,4,2,0.639438,0.718064,3654.243945,1539,0.069131,0.069131,0
10526,FIRESTAR/ANGELICA JO,,351,0.340204,20897,0.002289,0.561001,4,2,0.606171,0.67515,1461.873434,1345,0.062937,0.062937,0
10527,THUNDERBALL/DR. ELIO,,160,0.466274,5931,0.00112,0.288617,3,2,0.543384,0.57984,224.588731,558,0.03231,0.03231,0
10528,NAMORITA/NITA PRENTI,,368,0.322533,21780,0.002413,0.569731,4,2,0.612469,0.683633,1715.562398,1283,0.06394,0.06394,0
10529,SPEEDBALL/ROBBIE BAL,,330,0.345252,18742,0.002178,0.520525,4,2,0.598566,0.664671,1310.420153,1010,0.058417,0.058417,0
10530,HULK/DR. ROBERT BRUC,,598,0.227318,40577,0.003888,0.813218,2,2,0.71266,0.798403,5663.810984,3666,0.09124,0.09124,0
10531,NIGHT THRASHER/DUANE,,213,0.392329,8858,0.001475,0.350616,4,2,0.559464,0.606287,669.359124,613,0.039061,0.039061,0
10532,SPIDER-MAN/PETER PAR,,716,0.191241,48952,0.004701,0.900638,0,2,0.77795,0.857285,11747.354986,5918,0.100479,0.100478,0
10533,JUSTICE II/VANCE AST,,264,0.383368,13309,0.001759,0.444797,4,2,0.575862,0.631737,791.826851,923,0.049885,0.049885,0
10534,TIGRA/GREER NELSON,,384,0.327404,24076,0.002501,0.601438,6,2,0.618519,0.691617,1644.16046,1386,0.067736,0.067736,0
10535,WASP/JANET VAN DYNE,,463,0.242789,25967,0.003029,0.651451,6,2,0.650227,0.731038,3069.022721,2790,0.073039,0.073039,0
10536,GALACTUS/GALAN,,315,0.364918,18047,0.002091,0.501215,4,2,0.59325,0.657186,1113.860533,1195,0.056398,0.056398,0
10537,MOCKINGBIRD/DR. BARB,,351,0.345967,21251,0.002285,0.568754,6,2,0.606171,0.67515,1297.199735,1203,0.064096,0.064096,0
10538,SILVER SURFER/NORRIN,,418,0.305337,26611,0.002719,0.637024,4,2,0.631778,0.708583,2109.765238,1665,0.071723,0.071723,0
10539,HAWK,,610,0.221955,41227,0.00399,0.813107,6,2,0.718795,0.804391,6877.419006,4252,0.091002,0.091002,0
10540,LORD CHAOS,,112,0.63594,3953,0.000816,0.229754,4,2,0.529598,0.555888,53.792468,205,0.025884,0.025885,0
10541,SCARLET WITCH/WANDA,,535,0.21837,31193,0.003503,0.720159,6,2,0.682097,0.766966,5110.894072,3240,0.080698,0.080698,0
10542,QUICKSILVER/PIETRO M,,562,0.236798,37329,0.003656,0.776172,6,2,0.694868,0.780439,5617.106358,2929,0.086979,0.086979,0
10550,UATU,,402,0.306386,24695,0.002623,0.614326,1,2,0.625468,0.700599,2078.164893,1048,0.069085,0.069085,0
10551,CAPTAIN AMERICA,,841,0.164184,57993,0.005542,1,6,2,0.861565,0.919661,16815.793131,7784,0.111387,0.111386,0
10552,THUNDERSTRIKE/ERIC K,,363,0.324688,21333,0.002391,0.557639,3,2,0.610603,0.681138,1697.554377,1473,0.062642,0.062642,0
