Id,Label,timeset,Degree,modularity_class,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,pageranks,componentnumber,clustering,triangles,eigencentrality
10472,BLACK PANTHER/T'CHAL,,704,2,2303,4,0.495256,0.519422,303468.289234,0.001472,0,0.138425,34254,0.57762
10476,IRON MAN/TONY STARK,,2189,2,10806,4,0.475494,0.552863,3851700.49367,0.008739,0,0.017067,40872,0.814472
10477,IRON MAN IV/JAMES R.,,462,2,1363,4,0.481126,0.501948,312882.883765,0.001082,0,0.144378,15375,0.375011
10488,STARSHINE II/BRANDY,,220,0,536,4,0.398162,0.422574,534951.413251,0.001182,0,0.075259,1813,0.123833
10490,MAN-THING/THEODORE T,,185,5,302,4,0.465902,0.481831,85279.566544,0.000445,0,0.276675,4709,0.213019
10493,"ROM, SPACEKNIGHT",,239,0,478,4,0.466798,0.484242,255702.848207,0.000584,0,0.320312,9110,0.27122
10499,MYSTIQUE/RAVEN DARKH,,392,8,1033,4,0.469548,0.491131,111706.432152,0.000809,0,0.191959,14711,0.330993
10500,BLOB/FRED J. DUKES,,420,8,974,4,0.483466,0.502227,111573.022254,0.000854,0,0.193806,17053,0.382925
10501,TORPEDO III/BROCK JO,,219,0,372,4,0.467865,0.484425,41226.818536,0.000466,0,0.422437,10084,0.278653
10502,PYRO/ALLERDYCE JOHNN,,295,8,673,4,0.465881,0.485272,46732.79526,0.000592,0,0.256474,11122,0.298836
10503,AVALANCHE/DOMINIC PE,,274,8,579,4,0.462886,0.482294,40268.899711,0.000551,0,0.265608,9934,0.276242
10504,ROGUE /,,822,8,3620,4,0.496906,0.524228,282739.868177,0.001669,0,0.120481,40654,0.619244
10505,DESTINY II/IRENE ADL,,225,8,489,4,0.456869,0.476123,39551.594101,0.000468,0,0.298413,7520,0.240031
10521,SUB-MARINER/NAMOR MA,,972,13,3628,4,0.511741,0.538805,620936.792038,0.002072,0,0.096918,45736,0.681703
10522,VASHTI,,206,13,455,4,0.452394,0.472315,34687.508979,0.00045,0,0.258631,5461,0.20488
10525,NOVA/RICHARD RIDER,,671,3,2074,4,0.49802,0.520237,265356.437325,0.001346,0,0.140387,31557,0.532597
10526,FIRESTAR/ANGELICA JO,,607,3,1830,4,0.488694,0.511847,236409.271145,0.001241,0,0.145671,26792,0.495842
10527,THUNDERBALL/DR. ELIO,,207,4,615,4,0.458293,0.477129,21045.731197,0.000423,0,0.324422,6917,0.246985
10528,NAMORITA/NITA PRENTI,,588,3,1741,4,0.491733,0.513347,213042.330327,0.001202,0,0.154498,26663,0.490116
10529,SPEEDBALL/ROBBIE BAL,,499,3,1294,4,0.48945,0.508925,195616.678145,0.001045,0,0.183009,22739,0.444302
10530,HULK/DR. ROBERT BRUC,,1048,5,4539,4,0.517115,0.54456,955554.078557,0.002479,0,0.091005,49928,0.725662
