Id,Label,timeset,Degree,modularity_class,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,pageranks,componentnumber,clustering,triangles,eigencentrality
10470,"LITTLE, ABNER",,21,2,31,5,0.37094,0.387026,254.141947,0.000064,0,0.604762,127,0.020203
10471,PRINCESS ZANDA,,10,2,20,5,0.367842,0.383322,30.761795,0.000038,0,0.888889,40,0.014218
10472,BLACK PANTHER/T'CHAL,,704,2,2303,4,0.495256,0.519422,303468.289234,0.001472,0,0.138425,34254,0.57762
10473,"STEELE, SIMON/WOLFGA",,9,10,13,5,0.371098,0.386771,160.554988,0.000037,0,0.694444,25,0.010977
10474,"FORTUNE, DOMINIC",,14,10,27,5,0.364987,0.378941,73.33044,0.000046,0,0.56044,51,0.015822
10475,"ERWIN, CLYTEMNESTRA",,58,2,120,4,0.386486,0.40561,1308.907803,0.000138,0,0.345433,571,0.050688
10476,IRON MAN/TONY STARK,,2189,2,10806,4,0.475494,0.552863,3851700.49367,0.008739,0,0.017067,40872,0.814472
10477,IRON MAN IV/JAMES R.,,462,2,1363,4,0.481126,0.501948,312882.883765,0.001082,0,0.144378,15375,0.375011
10478,"RAVEN, SABBATH II/EL",,11,10,19,5,0.373208,0.389285,173.011441,0.000042,0,0.6,33,0.013274
10479,",""FORTUNE, DOMINIC",,1,2,2,5,0.322271,0.342324,0,0.000018,0,0,0,0.003755
10480,",""ERWIN, CLYTEMNESTRA",,5,2,24,5,0.340977,0.365356,202.834097,0.00003,0,0,0,0.010136
10481,CARNIVORE/COUNT ANDR,,44,2,79,4,0.413066,0.432465,3440.941073,0.000115,0,0.580338,549,0.065911
10482,GHOST,,35,2,54,4,0.391516,0.410097,965.66711,0.000091,0,0.457143,272,0.033904
10483,"ZIMMER, ABE",,70,2,162,4,0.400084,0.420315,4173.161617,0.000177,0,0.405383,979,0.071126
10484,FU MANCHU,,40,13,135,4,0.371006,0.386707,3890.900454,0.000118,0,0.362821,283,0.026318
10485,"TARR, BLACK JACK",,30,13,245,4,0.362692,0.37688,3270.266313,0.000106,0,0.363218,158,0.014309
10486,"SMITH, SIR DENIS NAY",,28,13,215,4,0.362667,0.376784,2730.661226,0.000098,0,0.383598,145,0.014106
10487,SHANG-CHI,,126,13,442,4,0.449763,0.467095,118982.33745,0.000353,0,0.264635,2084,0.140868
