Position,Track Name,Artist,Streams,date,region,spotify_id
1,Chantaje (feat. Maluma),Shakira,1664397,2016-12-23--2016-12-30,es,6mICuAdrwEjh6Y6lroV2Kg
2,Reggaetón Lento (Bailemos),CNCO,1523955,2016-12-23--2016-12-30,es,3AEZUABDXNtecAOSC1qTfo
3,Safari,J Balvin,1252134,2016-12-23--2016-12-30,es,6rQSrBHf7HlZjtcMZ4S4bO
4,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,1186042,2016-12-23--2016-12-30,es,5knuzwU65gJK7IF5yJsuaW
5,Vente Pa' Ca (feat. Maluma),Ricky Martin,1062316,2016-12-23--2016-12-30,es,7DM4BPaS7uofFul3ywMe46
6,Traicionera,Sebastian Yatra,979886,2016-12-23--2016-12-30,es,5J1c3M4EldCfNxXwrwt8mT
7,Otra vez (feat. J Balvin),Zion & Lennox,960626,2016-12-23--2016-12-30,es,3QwBODjSEzelZyVjxPOHdq
8,Gyal You A Party Animal - Remix,Charly Black,943780,2016-12-23--2016-12-30,es,1AkTW13ysu0AJrwuM6UY0I
9,La Bicicleta,Carlos Vives,850789,2016-12-23--2016-12-30,es,0sXvAOmXgjR2QUqLK1MltU
10,Let Me Love You,DJ Snake,845017,2016-12-23--2016-12-30,es,4pdPtRcBmOSQDlJ3Fk945m
11,24K Magic,Bruno Mars,837225,2016-12-23--2016-12-30,es,6b8Be6ljOzmkOmFslEb23P
12,Starboy,The Weeknd,782336,2016-12-23--2016-12-30,es,5aAx2yezTd8zXrkmtKl66Z
13,Hasta Que Se Seque el Malecón (feat. Farruko) - Remix,Jacob Forever,736266,2016-12-23--2016-12-30,es,6sMPwcpYtxm1mlgYbp1B0t
14,Closer,The Chainsmokers,733322,2016-12-23--2016-12-30,es,7BKLCZ1jbUBVqRi2FVlTVw
15,"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)",IAmChino,732458,2016-12-23--2016-12-30,es,6stYbAJgTszHAHZMPxWWCY
16,The Greatest,Sia,723481,2016-12-23--2016-12-30,es,6bLopGnirdrilrpdVB6Um1
17,Vacaciones,Wisin,695349,2016-12-23--2016-12-30,es,3dQDid3IUNhZy1OehIfYfE
18,All I Want for Christmas Is You,Mariah Carey,689340,2016-12-23--2016-12-30,es,0bYg9bo50gSsH3LtXe2SQn
19,Don't Wanna Know,Maroon 5,673476,2016-12-23--2016-12-30,es,5MFzQMkrl1FOOng9tq6R9r
20,Manicomio,Cosculluela,673049,2016-12-23--2016-12-30,es,3n58u3LOFw8mITLvfPvQBz
21,Borro Cassette,Maluma,648782,2016-12-23--2016-12-30,es,6DUdDIRgLqCGq1DwkNWQTN
22,Bailame Despacio,Xantos,632711,2016-12-23--2016-12-30,es,4OaTpLJIa2harufGxfOPUu
23,In the Name of Love,Martin Garrix,623086,2016-12-23--2016-12-30,es,04DwTuZ2VBdJCCC5TROn7L
24,Fuego,Juanes,617292,2016-12-23--2016-12-30,es,0mwPE0lPOgnWf2bo14xedJ
25,Quiero Que Sepas,Juan Magán,613860,2016-12-23--2016-12-30,es,0fm7fJ4aZv6Wx0klIcyXPz
26,Deja Que Te Bese,Alejandro Sanz,609453,2016-12-23--2016-12-30,es,0s6yB0ZFl1LvYHAnGhXFga
27,Cold Water (feat. Justin Bieber & MØ),Major Lazer,589432,2016-12-23--2016-12-30,es,6DNtNfH8hXkqOX1sjqmI7p
28,Te Quiero Pa´Mi,Don Omar,583318,2016-12-23--2016-12-30,es,3BY2mafsbsoKGqS380Xnuz
29,Antes Que No,David Bisbal,581741,2016-12-23--2016-12-30,es,4Iy644j0PpHssDJ33tXbIS
30,Cómo Te Atreves,Morat,572969,2016-12-23--2016-12-30,es,2z0EshEO4XptiepEb9j3Og
31,DUELE EL CORAZON (feat. Wisin),Enrique Iglesias,569849,2016-12-23--2016-12-30,es,6YZdkObH88npeKrrkb8Ggf
32,One Dance,Drake,562776,2016-12-23--2016-12-30,es,1xznGGDReH1oQq0xzbwXa3
